AtomicNumber,Element,Symbol,AtomicMass,Neutrons,Protons,Electrons,Period,Group,Phase,Radioactive,Natural,Metal,Nonmetal,Metalloid,Type,AtomicRadius,Electronegativity,FirstIonization,Density,MeltingPoint,BoilingPoint,Isotopes,Discoverer,Year,SpecificHeat,Shells,Valence,Config,MassNumber
98,Californium,Cf,251,153,98,98,7,3,artificial,TRUE,FALSE,TRUE,FALSE,FALSE,Actinide,,1.3,6.2817,15.1,1925.15,1173,123,Seaborg et al.,1950,,7,0,[Rn] 5f10 7s2,251
99,Einsteinium,Es,252,153,99,99,7,3,artificial,TRUE,FALSE,TRUE,FALSE,FALSE,Actinide,,1.3,6.42,13.5,1133.15,,123,Ghiorso et al.,1952,,7,0,[Rn] 5f11 7s2,252
100,Fermium,Fm,257,157,100,100,7,3,artificial,TRUE,FALSE,TRUE,FALSE,FALSE,Actinide,,1.3,6.5,,,,103,Ghiorso et al.,1953,,7,0,[Rn] 5f12 7s2,257
101,Mendelevium,Md,258,157,101,101,7,3,artificial,TRUE,FALSE,TRUE,FALSE,FALSE,Actinide,,1.3,6.58,,,,33,Ghiorso et al.,1955,,7,0,[Rn] 5f13 7s2,258
102,Nobelium,No,259,157,102,102,7,3,artificial,TRUE,FALSE,TRUE,FALSE,FALSE,Actinide,,1.3,6.65,,,,73,Ghiorso et al.,1958,,7,0,[Rn] 5f14 7s2,259
103,Lawrencium,Lr,262,159,103,103,7,3,artificial,TRUE,FALSE,TRUE,FALSE,FALSE,Actinide,,,,,,,203,Ghiorso et al.,1961,,7,0,[Rn] 5f14 7s2 7p1,262
104,Rutherfordium,Rf,261,157,104,104,7,4,artificial,TRUE,FALSE,TRUE,FALSE,FALSE,Transactinide,,,,18.1,,,,Ghiorso et al.,1969,,7,0,[Rn] 5f14 6d2 7s2,261
105,Dubnium,Db,262,157,105,105,7,5,artificial,TRUE,FALSE,TRUE,FALSE,FALSE,Transactinide,,,,39,,,,Ghiorso et al.,1970,,7,0,[Rn] 5f14 6d3 7s2,262
106,Seaborgium,Sg,266,160,106,106,7,6,artificial,TRUE,FALSE,TRUE,FALSE,FALSE,Transactinide,,,,35,,,,Ghiorso et al.,1974,,7,0,[Rn] 5f14 6d4 7s2,266
107,Bohrium,Bh,264,157,107,107,7,7,artificial,TRUE,FALSE,TRUE,FALSE,FALSE,Transactinide,,,,37,,,,Armbruster and M�nzenberg,1981,,7,0,[Rn] 5f14 6d5 7s2,264
108,Hassium,Hs,267,159,108,108,7,8,artificial,TRUE,FALSE,TRUE,FALSE,FALSE,Transactinide,,,,41,,,,Armbruster and M�nzenberg,1983,,7,0,[Rn] 5f14 6d6 7s2,267
109,Meitnerium,Mt,268,159,109,109,7,9,artificial,TRUE,FALSE,TRUE,FALSE,FALSE,Transactinide,,,,35,,,,"GSI, Darmstadt, West Germany",1982,,7,0,[Rn] 5f14 6d7 7s2,268
110,Darmstadtium ,Ds,271,161,110,110,7,10,artificial,TRUE,FALSE,TRUE,FALSE,FALSE,Transactinide,,,,,,,,,1994,,7,0,[Rn] 5f14 6d9 7s1,271
